timestamp;sensor_id;CH4 [% LEL];CO [ppm];O2 [%];CO2 [ppm];NO2 [ppm]
2025-04-10 14:34:40;0;2;4;20.9;500;0.01
2025-04-10 14:34:40;1;2;4;20.9;500;0.01
2025-04-10 14:35:00;0;2;4;20.9;500;0.01
2025-04-10 14:35:00;1;2;4;20.9;500;0.01
2025-04-10 14:35:20;0;2;4;20.9;500;0.01
2025-04-10 14:35:20;1;3;4.2;20.7;520;0.02
2025-04-10 14:35:40;0;2;4;20.9;500;0.01
2025-04-10 14:35:40;1;5;6;20.5;550;0.05
2025-04-10 14:36:00;0;2;4;20.9;500;0.01
2025-04-10 14:36:00;1;8;12;20.0;600;0.1
2025-04-10 14:36:20;0;2;4;20.9;500;0.01
2025-04-10 14:36:20;1;12;22;19;705;0.3
2025-04-10 14:36:40;0;2;4;20.9;500;0.01
2025-04-10 14:36:40;1;25;50;18;1200;1.0
2025-04-10 14:37:00;0;2;4;20.9;500;0.01
2025-04-10 14:37:00;1;35;80;16;1800;2.5
2025-04-10 14:37:20;0;2;4;20.9;500;0.01
2025-04-10 14:37:20;1;45;105;15;2020;5.0
2025-04-10 14:37:40;0;2;4;20.9;500;0.01
2025-04-10 14:37:40;1;30;70;17;1500;3.0
2025-04-10 14:38:00;0;2;4;20.9;500;0.01
2025-04-10 14:38:00;1;15;30;19;900;1.0
2025-04-10 14:38:20;0;2;4;20.9;500;0.01
2025-04-10 14:38:20;1;8;15;20.2;700;0.4
2025-04-10 14:38:40;0;2;4;20.9;500;0.01
2025-04-10 14:38:40;1;5;8;20.6;600;0.1
2025-04-10 14:39:00;0;2;4;20.9;500;0.01
2025-04-10 14:39:00;1;4;6;20.7;550;0.05
